date,approve,disapprove
7/8/18,41.475,53.6
7/9/18,40.23333333,51.46666667
7/10/18,39.23333333,51.7
7/11/18,41,53.8
7/12/18,38.1,54.85
7/13/18,41.35,53
7/14/18,40.66666667,52.33333333
7/15/18,42.16,51.02
7/16/18,41.25,51.65
7/17/18,41.28333333,52.41666667
7/18/18,42.23333333,52.2
7/19/18,40.36666667,51.7
7/20/18,41.36,54.02
7/21/18,41.65,51.5
7/22/18,40.52,52.44
7/23/18,40.96666667,51.7
7/24/18,40.63333333,50.9
7/25/18,41.63333333,52.76666667
7/26/18,43.05,51.6
7/27/18,42.23333333,52.5
7/28/18,40.05,52.4
7/29/18,41.16666667,51.83333333
7/30/18,41.7,52.2
7/31/18,39.6,53.05
8/1/18,41.575,52.2
8/2/18,40,53.16666667
8/3/18,41.43333333,53.13333333
8/4/18,41.7,52.6
8/5/18,39.925,52.45
8/6/18,41.15,51.7
8/7/18,41.55,50.2
8/8/18,42.3,53.13333333
8/9/18,41.3,51.5
8/10/18,42.7,53.75
8/11/18,38,52
8/12/18,41.16666667,53.66666667
8/13/18,41,52
8/14/18,41.13333333,52.06666667
8/15/18,41.025,50.15
8/16/18,42.125,51.425
8/17/18,42,53
8/18/18,42.5,52.8
8/19/18,41.32,51.52
8/20/18,39.975,55.625
8/21/18,41.7,51.03333333
8/22/18,40.8,53.76666667
8/23/18,39.05,53.25
8/24/18,41.2,52.96666667
8/25/18,39.85,53.3
8/26/18,40.76666667,53.63333333
8/27/18,40.7,52.96666667
8/28/18,38.46666667,54.46666667
8/29/18,39.7,54.84
8/30/18,40.14,53.68
8/31/18,40,52.4
9/1/18,39.75,53.5
9/2/18,40.1,52.58
9/3/18,40.86666667,53.63333333
9/4/18,39.23333333,52.76666667
9/5/18,40.96666667,53.63333333
9/6/18,40.65,51.95
9/7/18,39.725,54.25
9/8/18,40.4,53.3
9/9/18,39.61428571,53.65714286
9/10/18,38.6,54.25
9/11/18,40,52.03333333
9/12/18,40.9,53.4
9/13/18,40.33333333,54.3
9/14/18,39.85,53.9
9/15/18,39.75,53
9/16/18,40.33333333,53.56666667
9/17/18,41.95,52.6
9/18/18,41.76666667,51.23333333
9/19/18,42.5,52.8
9/20/18,39.95,55.95
9/21/18,41.6,51.36666667
9/22/18,40.75,52.25
9/23/18,39.4,53.95
9/24/18,40.42,52.64
9/25/18,40.7,51.33333333
9/26/18,43.2,51.96666667
9/27/18,42,50.8
9/28/18,40.35,50.65
9/29/18,41.45,52.2
9/30/18,42.14,52.9
10/1/18,40.86,53.56
10/2/18,39.475,53.05
10/3/18,41.825,52.225
10/4/18,41.7,52.06666667
10/5/18,37.7,55.3
10/6/18,39.6,53.36666667
10/7/18,41.73333333,54.03333333
10/8/18,39.93333333,53.53333333
10/9/18,39.25,52.45
10/10/18,42.9,52.36666667
10/11/18,40.925,52.175
10/12/18,42,52.7
10/13/18,41.25,51.35
10/14/18,42.38,53
10/15/18,40.53333333,52.1
10/16/18,41.36666667,50.3
10/17/18,42.58,51.22
10/18/18,42.1,52.4
10/19/18,41.14,52.5
10/20/18,40.8,54.06666667
10/21/18,42.025,50.8
10/22/18,41.15,51.7
10/23/18,40.75,51.35
10/24/18,43.675,52.475
10/25/18,41.05,51.75
10/26/18,42.225,52.7
10/27/18,43.2,51.3
10/28/18,41.2,52.4
10/29/18,40.275,53.575
10/30/18,40.45,52.6
10/31/18,42.8,52.05
11/1/18,42.425,51.45
11/2/18,43.5,52.9
11/3/18,41.04,52.4
11/4/18,40.96666667,52.8
11/5/18,42.1,52.05
11/6/18,41.66666667,49.7
11/7/18,43.76666667,52.13333333
11/8/18,42.25,51.75
11/9/18,43,52
11/10/18,41.9,52.55
11/11/18,42.1,52.66666667
11/12/18,42.325,52.575
11/13/18,41.41666667,53.88333333
11/14/18,42,52.5
11/15/18,43.46666667,53.3
11/16/18,42.15,51.8
11/17/18,43,50.5
11/18/18,42.14,52.18
11/19/18,41.775,52.7
11/20/18,41.375,52.075
11/21/18,41.85,51.5
11/22/18,42.75,51.7
11/23/18,42.85,51.4
11/24/18,42.4,51.8
11/25/18,41.9,53.23333333
11/26/18,42.15,51.3
11/27/18,41.7,50.45
11/28/18,43.15,49.5
11/29/18,42.43333333,53.36666667
11/30/18,43.1,51.43333333
12/1/18,41.9,52
12/2/18,40.65,53.33333333
12/3/18,41.7,51.8
12/4/18,42.36666667,49.63333333
12/5/18,42.1,51.6
12/6/18,41.24,50.74
12/7/18,41.8,52.3
12/8/18,41.55,52
12/9/18,41.9375,52.575
12/10/18,42.1,53.2
12/11/18,42.95,50.5
12/12/18,42.425,52.2
12/13/18,44.3,51.2
12/14/18,41.55,52.05
12/15/18,45,50.8
12/16/18,41.95,54.1
12/17/18,42.825,52.2
12/18/18,42.1,51.3
12/19/18,42,52
12/20/18,41.56666667,53.9
12/21/18,42.7,53.1
12/22/18,40.33333333,54.06666667
12/23/18,40.425,52.35
12/24/18,41.65,52.85
12/25/18,42.25,51.65
12/26/18,40.7,54.2
12/27/18,40.93333333,52.76666667
12/28/18,39.9,51.9
12/29/18,40.2,53.6
12/30/18,40.05,53.15
12/31/18,41.05,52.7
1/1/19,41.5,51.75
1/2/19,40.8,54.05
1/3/19,40.6,53.8
1/4/19,38.9,56.7
1/5/19,40.3,54.13333333
1/6/19,41.25,53.25
1/7/19,40,54.36666667
1/8/19,40,53.05
1/9/19,40.43333333,53.43333333
1/10/19,40.05,55.425
1/11/19,40.13333333,53.83333333
1/12/19,41.13333333,54.1
1/13/19,40.68571429,54.12857143
1/14/19,38.66666667,57.66666667
1/15/19,40.3,53.36666667
1/16/19,39.2,54.9
1/17/19,39.85,55.2
1/18/19,40.2,55.5
1/19/19,40.7,54.7
1/20/19,38.93333333,56.35
1/21/19,38.16666667,56
1/22/19,40.16666667,53.6
1/23/19,40.6,54.56666667
1/24/19,39.1,56.1
1/25/19,38.3,55.6
1/26/19,39,57.3
1/27/19,39.31666667,55.65
1/28/19,40.43333333,54.53333333
1/29/19,39.1,53.53333333
1/30/19,38.75,56.5
1/31/19,40.7,53.86666667
2/1/19,39.76666667,55.5
2/2/19,39.73333333,55.1
2/3/19,39.475,55
2/4/19,38.05,55.3
